operating_country,channel_name,pmi_product_family,brand_tier,wholesaler_tier,weeks,shipments_units,avg_price_realization,avg_list_price,avg_net_price,avg_leakage_per_unit
Zimbabwe,Retail,Cigarettes,Premium,T2,4,13,1.199999736,290.00003,87,203.00003
Venezuela,Key Accounts,Heated Tobacco,Premium,T1,2,6,1.2,850,510,340
Kazakhstan,Retail,Heated Tobacco,Premium,T2,4,6,1.20000013,958.8888333,287.6666667,671.2221667
Peru,E-Commerce,Heated Tobacco,Core,T3,2,6,1.200000244,159.5833,95.75,63.8333
Argentina,E-Commerce,Oral Nicotine,Core,T3,2,8,1.200000396,198.6111,119.1667,79.4444
Peru,Key Accounts,Oral Nicotine,Core,T1,2,6,1.200000464,344.4445,206.6667,137.7778
Turkmenistan,Retail,Cigarettes,Value,T2,4,6,1.200000785,600,180,420
Venezuela,Key Accounts,Oral Nicotine,Premium,T1,2,17,1.20000109,73.8141,44.2885,29.5256
Yemen,Retail,Cigarettes,Premium,T2,4,11,1.200001103,106.6666,32,74.6666
United Arab Emirates,Retail,Cigarettes,Core,T2,4,12,1.200001134,323.7499,97.125,226.6249
Netherlands,E-Commerce,Oral Nicotine,Core,T3,2,7,1.29999687,381.1667,196.3333,184.8334
Denmark,Retail,Oral Nicotine,Value,T2,3,7,1.3,131.5,59,72.5
Thailand,E-Commerce,Heated Tobacco,Premium,T3,2,15,1.349053641,211.1266154,139.2307846,71.89583077
Myanmar (Burma),E-Commerce,Oral Nicotine,Value,T3,2,6,1.359999794,474.8902,305.4,169.4902
Thailand,E-Commerce,Oral Nicotine,Value,T3,2,7,1.360000255,481.1372,307.5,173.6372
Myanmar (Burma),E-Commerce,Oral Nicotine,Premium,T3,2,6,1.459999013,517.8083,378,139.8083
Myanmar (Burma),Retail,Oral Nicotine,Value,T2,2,9,1.459999723,205.54794,150.05,55.49794
Thailand,E-Commerce,Heated Tobacco,Value,T3,2,14,1.460000054,821.3767182,621.8485,199.5282182
Myanmar (Burma),Key Accounts,Heated Tobacco,Core,T1,2,8,1.460000486,499.62002,385.26672,114.3533
Mongolia,Retail,Cigarettes,Premium,T2,2,10,1.499994375,27.8889,23.4444,4.4445
Haiti,Key Accounts,Oral Nicotine,Premium,T1,4,21,1.49999785,229.861,90.5833,139.2777
Ireland,Retail,Heated Tobacco,Premium,T2,3,22,1.499998363,125.5455,62.7727,62.7728
Portugal,Key Accounts,Cigarettes,Premium,T1,3,16,1.499998993,93.6667,46.8333,46.8334
Kazakhstan,Retail,Heated Tobacco,Core,T2,5,15,1.499999792,714.3333,214.3,500.0333
Zimbabwe,Key Accounts,Cigarettes,Value,T1,5,15,1.499999805,128.8889,38.6667,90.2222
Denmark,Retail,Heated Tobacco,Core,T2,3,21,1.5,446.6857143,223.3428571,223.3428571
Denmark,Retail,Heated Tobacco,Premium,T2,3,14,1.5,308.8286,154.4143,154.4143
Ireland,E-Commerce,Cigarettes,Value,T3,3,11,1.5,357.8,178.9,178.9
Pakistan,Key Accounts,Heated Tobacco,Premium,T1,3,9,1.5,347,173.5,173.5
Papua New Guinea,Key Accounts,Cigarettes,Core,T1,3,10,1.5,33.5,16.75,16.75
Kazakhstan,Key Accounts,Cigarettes,Premium,T1,5,10,1.500000043,311.6666,93.5,218.1666
South Korea,Key Accounts,Heated Tobacco,Value,T1,3,8,1.500000119,498.833325,249.416675,249.41665
Lithuania,Retail,Cigarettes,Value,T2,5,17,1.500000143,302.7778,90.8333,211.9445
Denmark,Key Accounts,Cigarettes,Premium,T1,3,10,1.500001271,579.5333,289.7667,289.7666
Ireland,Key Accounts,Cigarettes,Premium,T1,3,13,1.500001396,85.93332,42.96668,42.96664
Denmark,Key Accounts,Cigarettes,Value,T1,3,9,1.500004114,200.6666,100.3334,100.3332
Sweden,Retail,Oral Nicotine,Premium,T2,4,24,1.599999978,573.2232,189.1607,384.0625
Syria,E-Commerce,Cigarettes,Core,T3,2,6,1.6,81.75,69.25,12.5
South Korea,Key Accounts,Oral Nicotine,Value,T1,2,10,1.6,191,152.8,38.2
Syria,Key Accounts,Cigarettes,Value,T1,2,2,1.6,153,97,56
Papua New Guinea,Key Accounts,Oral Nicotine,Value,T1,2,6,1.600000126,608.3333,486.6667,121.6666
Syria,Retail,Heated Tobacco,Value,T2,2,6,1.600000293,211.0833,183.75,27.3333
Myanmar (Burma),Key Accounts,Heated Tobacco,Premium,T1,2,8,1.659999921,335.2611,278.2667,56.9944
Vietnam,E-Commerce,Oral Nicotine,Value,T3,3,15,1.79812553,1145.195775,662.749975,482.4458
Peru,E-Commerce,Cigarettes,Premium,T3,3,19,1.799992583,28.65748333,17.19443333,11.46305
Haiti,E-Commerce,Cigarettes,Core,T3,3,17,1.799997395,69.083365,41.449975,27.63339
Peru,Retail,Oral Nicotine,Value,T2,3,7,1.799999374,271.3889,162.8333,108.5556
Panama,E-Commerce,Heated Tobacco,Premium,T3,4,13,1.799999421,224.5277,109.3833,115.1444
Sweden,E-Commerce,Oral Nicotine,Premium,T3,4,27,1.79999945,1556.8608,596.5637,960.2971
Argentina,E-Commerce,Oral Nicotine,Premium,T3,3,21,1.79999962,456.076375,273.6458,182.430575
Uganda,Retail,Cigarettes,Value,T2,6,8,1.799999786,151.6667,45.5,106.1667
Haiti,Retail,Oral Nicotine,Core,T2,4,20,1.799999811,978.9394455,447.3636091,531.5758364
Venezuela,Retail,Oral Nicotine,Premium,T2,3,15,1.799999877,218.2222,130.9333,87.2889
Sweden,Retail,Oral Nicotine,Value,T2,4,19,1.8,254.7222,117.1111,137.6111
Uruguay,Retail,Oral Nicotine,Value,T2,2,15,1.8,920.4148,799.4773,120.9375
Ecuador,Key Accounts,Oral Nicotine,Value,T1,2,7,1.8,320.8333,280.3333,40.5
Zimbabwe,Retail,Cigarettes,Value,T2,6,21,1.800000101,447.5641192,134.2692308,313.2948885
Haiti,Key Accounts,Oral Nicotine,Value,T1,3,6,1.800000233,132.7778,79.6667,53.1111
Nigeria,E-Commerce,Oral Nicotine,Core,T3,6,13,1.800000254,818.3333,245.5,572.8333
Zimbabwe,E-Commerce,Cigarettes,Premium,T3,6,13,1.800000612,178.3333,53.5,124.8333
Zimbabwe,Key Accounts,Cigarettes,Premium,T1,6,14,1.800001246,245.8333,73.75,172.0833
Peru,E-Commerce,Cigarettes,Core,T3,3,14,1.800006438,54.3518,32.6111,21.7407
Ireland,Key Accounts,Oral Nicotine,Core,T1,4,21,1.835897436,643.3278,308.7889,334.5389
Netherlands,Key Accounts,Oral Nicotine,Value,T1,3,17,1.882743989,256.1666667,140.5333333,115.6333333
Vietnam,E-Commerce,Heated Tobacco,Value,T3,3,11,1.890000278,465.5831,297,168.5831
Tanzania,E-Commerce,Heated Tobacco,Premium,T3,2,3,1.900000243,194.3333,182,12.3333
Ireland,Retail,Oral Nicotine,Premium,T2,4,18,1.900000302,379.1333,185.0667,194.0666
Thailand,Key Accounts,Oral Nicotine,Core,T1,3,20,1.932384723,741.63435,480.404775,261.229575
Thailand,Key Accounts,Heated Tobacco,Core,T1,3,11,1.989999599,512.7855,339.1333,173.6522
Vietnam,E-Commerce,Heated Tobacco,Core,T3,3,14,1.989999662,503.4316,334.4404,168.9912
Barbados,Key Accounts,Heated Tobacco,Value,T1,2,4,1.996000102,431.8637,431,0.8637
Colombia,E-Commerce,Heated Tobacco,Value,T3,2,3,1.996000718,164.8296,164.5,0.3296
Chile,E-Commerce,Heated Tobacco,Value,T3,2,14,1.996505805,375.8325714,375.1428143,0.689757143
Bolivia,E-Commerce,Heated Tobacco,Premium,T3,2,8,1.997999885,198.4801,198.2857,0.1944
Ecuador,Retail,Heated Tobacco,Value,T2,2,6,1.997999997,345.8497,345.5,0.3497
Chile,Key Accounts,Heated Tobacco,Core,T1,2,8,1.998000033,432.85262,432.53332,0.3193
Ecuador,E-Commerce,Heated Tobacco,Core,T3,2,9,1.998000512,210.8249,210.5,0.3249
Ireland,Key Accounts,Cigarettes,Core,T1,4,16,1.999996474,96.9524,48.4762,48.4762
Sweden,E-Commerce,Cigarettes,Premium,T3,4,12,1.999998239,78,39,39
Afghanistan,E-Commerce,Heated Tobacco,Premium,T3,2,5,2,172.8333,172.8333,0
Afghanistan,Key Accounts,Heated Tobacco,Premium,T1,2,12,2,336.4571,336.4571,0
Afghanistan,Key Accounts,Oral Nicotine,Core,T1,2,3,2,314.5,314.5,0
Afghanistan,Retail,Cigarettes,Core,T2,2,18,2,102.8333667,102.8333667,0
Afghanistan,Retail,Cigarettes,Value,T2,2,8,2,61.25,61.25,0
Afghanistan,Retail,Heated Tobacco,Premium,T2,2,7,2,164.1,164.1,0
Albania,Key Accounts,Cigarettes,Core,T1,2,6,2,38.4,38.4,0
Angola,E-Commerce,Cigarettes,Core,T3,2,3,2,259.5,259.5,0
Angola,Key Accounts,Heated Tobacco,Core,T1,2,2,2,68,68,0
Angola,Key Accounts,Heated Tobacco,Premium,T1,2,3,2,337,337,0
Angola,Key Accounts,Oral Nicotine,Value,T1,2,10,2,100.375,100.375,0
Austria,E-Commerce,Oral Nicotine,Core,T3,2,11,2,191.3333,191.3333,0
Austria,E-Commerce,Oral Nicotine,Value,T3,2,11,2,256.2083,256.2083,0
Azerbaijan,Key Accounts,Heated Tobacco,Value,T1,2,5,2,500.25,500.25,0
Azerbaijan,Key Accounts,Oral Nicotine,Core,T1,2,2,2,499,499,0
Azerbaijan,Key Accounts,Oral Nicotine,Value,T1,2,2,2,97,97,0
Bangladesh,E-Commerce,Heated Tobacco,Core,T3,2,8,2,157.6,157.6,0
Bangladesh,E-Commerce,Oral Nicotine,Value,T3,2,15,2,205.8,205.8,0
Barbados,E-Commerce,Cigarettes,Core,T3,2,6,2,63.3334,63.3334,0
Barbados,Key Accounts,Oral Nicotine,Core,T1,2,4,2,75.5,75.5,0
Barbados,Retail,Cigarettes,Core,T2,2,6,2,22,22,0
Barbados,Retail,Oral Nicotine,Core,T2,2,7,2,529.30002,529.30002,0
Belarus,E-Commerce,Cigarettes,Core,T3,2,3,2,138.5,138.5,0
Belarus,E-Commerce,Heated Tobacco,Premium,T3,2,16,2,192.3333,192.3333,0
Belarus,E-Commerce,Oral Nicotine,Core,T3,2,7,2,521.6667,521.6667,0
Belarus,Key Accounts,Heated Tobacco,Premium,T1,2,2,2,435,435,0
Belarus,Key Accounts,Oral Nicotine,Core,T1,2,15,2,162.9167,162.9167,0
Belarus,Retail,Oral Nicotine,Premium,T2,2,3,2,455,455,0
Belgium,Retail,Heated Tobacco,Premium,T2,2,7,2,110.5,110.5,0
Benin,Key Accounts,Heated Tobacco,Core,T1,2,3,2,349.5,349.5,0
Benin,Retail,Heated Tobacco,Premium,T2,2,14,2,431.55,431.55,0
Bolivia,E-Commerce,Cigarettes,Premium,T3,2,9,2,56.2,56.2,0
Bolivia,E-Commerce,Heated Tobacco,Value,T3,2,6,2,120.25,120.25,0
Bolivia,Key Accounts,Cigarettes,Value,T1,2,4,2,28.3333,28.3333,0
Bolivia,Retail,Heated Tobacco,Premium,T2,2,10,2,289,289,0
Bolivia,Retail,Oral Nicotine,Core,T2,2,6,2,68.3333,68.3333,0
Bolivia,Retail,Oral Nicotine,Value,T2,2,8,2,330.5,330.5,0
Bosnia and Herzegovina,E-Commerce,Cigarettes,Premium,T3,2,5,2,54.75,54.75,0
Bosnia and Herzegovina,Retail,Cigarettes,Value,T2,2,6,2,87.5,87.5,0
Bosnia and Herzegovina,Retail,Heated Tobacco,Value,T2,2,8,2,211.8333,211.8333,0
Bulgaria,E-Commerce,Cigarettes,Premium,T3,2,13,2,24.16666667,24.16666667,0
Bulgaria,Key Accounts,Cigarettes,Premium,T1,2,2,2,62,62,0
Bulgaria,Key Accounts,Oral Nicotine,Premium,T1,2,3,2,567,567,0
Cambodia,Key Accounts,Heated Tobacco,Premium,T1,2,9,2,204.4286,204.4286,0
Cambodia,Retail,Heated Tobacco,Core,T2,2,12,2,459.0909,459.0909,0
Cambodia,Retail,Heated Tobacco,Value,T2,2,5,2,293.5,293.5,0
Cameroon,E-Commerce,Oral Nicotine,Premium,T3,2,3,2,58.5,58.5,0
Cameroon,Key Accounts,Oral Nicotine,Premium,T1,2,5,2,270.5,270.5,0
Cameroon,Retail,Heated Tobacco,Value,T2,2,6,2,359.75,359.75,0
Cameroon,Retail,Oral Nicotine,Premium,T2,2,2,2,157,157,0
Cameroon,Retail,Oral Nicotine,Value,T2,2,2,2,607,607,0
Canada,E-Commerce,Oral Nicotine,Premium,T3,2,2,2,366,366,0
Canada,E-Commerce,Oral Nicotine,Value,T3,2,2,2,220,220,0
Canada,Key Accounts,Oral Nicotine,Premium,T1,2,3,2,296.5,296.5,0
Chile,E-Commerce,Cigarettes,Value,T3,2,9,2,39.5,39.5,0
Chile,E-Commerce,Oral Nicotine,Core,T3,2,14,2,178.7143,178.7143,0
Chile,E-Commerce,Oral Nicotine,Premium,T3,2,10,2,129.4444,129.4444,0
Chile,Key Accounts,Cigarettes,Premium,T1,2,13,2,14.4091,14.4091,0
Chile,Key Accounts,Oral Nicotine,Premium,T1,2,13,2,131.3571,131.3571,0
Colombia,E-Commerce,Oral Nicotine,Core,T3,2,5,2,144.1667,144.1667,0
Cote d'Ivoire,E-Commerce,Cigarettes,Value,T3,2,2,2,191,191,0
Cote d'Ivoire,E-Commerce,Oral Nicotine,Core,T3,2,7,2,214.5,214.5,0
Cote d'Ivoire,E-Commerce,Oral Nicotine,Value,T3,2,3,2,443,443,0
Cote d'Ivoire,Key Accounts,Cigarettes,Value,T1,2,10,2,188.375,188.375,0
Cote d'Ivoire,Key Accounts,Heated Tobacco,Core,T1,2,3,2,122,122,0
Cote d'Ivoire,Key Accounts,Heated Tobacco,Premium,T1,2,2,2,421,421,0
Cote d'Ivoire,Key Accounts,Heated Tobacco,Value,T1,2,5,2,331.25,331.25,0
Cote d'Ivoire,Key Accounts,Oral Nicotine,Premium,T1,2,4,2,916.5,916.5,0
Cote d'Ivoire,Retail,Heated Tobacco,Premium,T2,2,13,2,195.3333,195.3333,0
Croatia,Key Accounts,Cigarettes,Core,T1,2,2,2,69,69,0
Croatia,Retail,Cigarettes,Value,T2,2,3,2,20.5,20.5,0
Croatia,Retail,Heated Tobacco,Value,T2,2,3,2,209.5,209.5,0
Czech Republic,E-Commerce,Cigarettes,Value,T3,2,12,2,28.99998182,28.99998182,0
Czech Republic,E-Commerce,Heated Tobacco,Core,T3,2,4,2,387,387,0
Czech Republic,Key Accounts,Oral Nicotine,Value,T1,2,2,2,520,520,0
Czech Republic,Retail,Oral Nicotine,Core,T2,2,9,2,277,277,0
Czech Republic,Retail,Oral Nicotine,Premium,T2,2,2,2,579,579,0
Czech Republic,Retail,Oral Nicotine,Value,T2,2,5,2,178,178,0
Democratic Republic of the Congo,E-Commerce,Oral Nicotine,Core,T3,2,5,2,528,528,0
Djibouti,Retail,Cigarettes,Premium,T2,2,5,2,50,50,0
Ecuador,Retail,Cigarettes,Value,T2,2,4,2,167.5,167.5,0
Ecuador,Retail,Oral Nicotine,Premium,T2,2,11,2,128.9167125,128.9167125,0
Egypt,E-Commerce,Heated Tobacco,Value,T3,2,8,2,119.75,119.75,0
Finland,E-Commerce,Cigarettes,Value,T3,2,3,2,41,41,0
Finland,E-Commerce,Oral Nicotine,Value,T3,2,6,2,320.6666,320.6666,0
Finland,Key Accounts,Cigarettes,Core,T1,2,15,2,77.68181818,77.68181818,0
Finland,Key Accounts,Cigarettes,Premium,T1,2,8,2,54.83333333,54.83333333,0
Finland,Key Accounts,Heated Tobacco,Value,T1,2,10,2,117.1429,117.1429,0
Finland,Retail,Oral Nicotine,Core,T2,2,4,2,414,414,0
Gabon,Retail,Cigarettes,Value,T2,2,13,2,55.13636364,55.13636364,0
Georgia,E-Commerce,Cigarettes,Premium,T3,2,4,2,26.33333333,26.33333333,0
Ghana,E-Commerce,Cigarettes,Premium,T3,2,3,2,35.5,35.5,0
Ghana,Key Accounts,Cigarettes,Value,T1,2,12,2,54,54,0
Ghana,Key Accounts,Heated Tobacco,Premium,T1,2,3,2,181,181,0
Ghana,Key Accounts,Heated Tobacco,Value,T1,2,2,2,128,128,0
Ghana,Retail,Oral Nicotine,Core,T2,2,3,2,650,650,0
Guinea,Key Accounts,Cigarettes,Value,T1,2,2,2,59,59,0
Guinea-Bissau,E-Commerce,Cigarettes,Premium,T3,2,2,2,69,69,0
Hong Kong,E-Commerce,Cigarettes,Premium,T3,2,7,2,545.5833,545.5833,0
Hong Kong,Retail,Cigarettes,Premium,T2,2,8,2,50,50,0
Hong Kong,Retail,Cigarettes,Value,T2,2,4,2,75,75,0
Hungary,E-Commerce,Cigarettes,Premium,T3,2,9,2,38.7,38.7,0
Hungary,E-Commerce,Cigarettes,Value,T3,2,9,2,70.83333333,70.83333333,0
Hungary,Key Accounts,Heated Tobacco,Core,T1,2,21,2,323.8333556,323.8333556,0
Hungary,Key Accounts,Oral Nicotine,Value,T1,2,3,2,418,418,0
Hungary,Retail,Heated Tobacco,Core,T2,2,10,2,171.5,171.5,0
Iraq,E-Commerce,Heated Tobacco,Premium,T3,2,8,2,408,408,0
Iraq,E-Commerce,Heated Tobacco,Value,T3,2,3,2,336,336,0
Israel,E-Commerce,Oral Nicotine,Core,T3,2,5,2,179,179,0
Israel,Retail,Heated Tobacco,Core,T2,2,2,2,172,172,0
Jamaica,E-Commerce,Oral Nicotine,Core,T3,2,10,2,61.5,61.5,0
Jamaica,Key Accounts,Cigarettes,Core,T1,2,5,2,26.3333,26.3333,0
Jamaica,Key Accounts,Cigarettes,Premium,T1,2,7,2,40.75,40.75,0
Jamaica,Key Accounts,Heated Tobacco,Value,T1,2,10,2,93.2,93.2,0
Jamaica,Key Accounts,Oral Nicotine,Value,T1,2,7,2,32.8,32.8,0
Jamaica,Retail,Oral Nicotine,Core,T2,2,8,2,288.4,288.4,0
Japan,E-Commerce,Heated Tobacco,Value,T3,2,7,2,244,244,0
Japan,E-Commerce,Oral Nicotine,Premium,T3,2,5,2,579.6667,579.6667,0
Jordan,E-Commerce,Cigarettes,Premium,T3,2,6,2,95.75,95.75,0
Jordan,E-Commerce,Oral Nicotine,Premium,T3,2,5,2,168.75,168.75,0
Jordan,Retail,Cigarettes,Premium,T2,2,4,2,579,579,0
Jordan,Retail,Heated Tobacco,Core,T2,2,8,2,179.2856857,179.2856857,0
Jordan,Retail,Oral Nicotine,Core,T2,2,6,2,391.75,391.75,0
Kenya,Key Accounts,Heated Tobacco,Value,T1,2,5,2,907.25,907.25,0
Kenya,Retail,Heated Tobacco,Premium,T2,2,3,2,133,133,0
Kenya,Retail,Heated Tobacco,Value,T2,2,5,2,295,295,0
Kenya,Retail,Oral Nicotine,Premium,T2,2,3,2,135,135,0
Kenya,Retail,Oral Nicotine,Value,T2,2,4,2,488,488,0
Kyrgyzstan,E-Commerce,Cigarettes,Premium,T3,2,4,2,48,48,0
Kyrgyzstan,E-Commerce,Cigarettes,Value,T3,2,13,2,213.5454545,213.5454545,0
Kyrgyzstan,E-Commerce,Heated Tobacco,Core,T3,2,3,2,282.5,282.5,0
Kyrgyzstan,Key Accounts,Cigarettes,Premium,T1,2,4,2,93,93,0
Kyrgyzstan,Retail,Cigarettes,Premium,T2,2,2,2,67,67,0
Lebanon,E-Commerce,Oral Nicotine,Premium,T3,2,2,2,604,604,0
Lebanon,Retail,Heated Tobacco,Core,T2,2,3,2,569,569,0
Liberia,E-Commerce,Cigarettes,Premium,T3,2,11,2,23.3,23.3,0
Liberia,E-Commerce,Oral Nicotine,Core,T3,2,3,2,437,437,0
Liberia,Key Accounts,Cigarettes,Core,T1,2,3,2,139.5,139.5,0
Libya,E-Commerce,Cigarettes,Value,T3,2,7,2,36.1667,36.1667,0
Libya,Key Accounts,Oral Nicotine,Value,T1,2,9,2,784.9999714,784.9999714,0
Libya,Retail,Cigarettes,Value,T2,2,5,2,97.83333333,97.83333333,0
Libya,Retail,Oral Nicotine,Core,T2,2,7,2,68.3,68.3,0
Macedonia,Retail,Cigarettes,Core,T2,2,3,2,73.5,73.5,0
Madagascar,E-Commerce,Cigarettes,Core,T3,2,2,2,64,64,0
Madagascar,E-Commerce,Cigarettes,Premium,T3,2,5,2,42,42,0
Madagascar,E-Commerce,Heated Tobacco,Core,T3,2,7,2,384.3333,384.3333,0
Madagascar,Key Accounts,Cigarettes,Core,T1,2,11,2,63.22222222,63.22222222,0
Madagascar,Key Accounts,Cigarettes,Premium,T1,2,7,2,158.8333,158.8333,0
Madagascar,Key Accounts,Heated Tobacco,Core,T1,2,5,2,399.75,399.75,0
Madagascar,Key Accounts,Heated Tobacco,Premium,T1,2,4,2,248.5,248.5,0
Mali,Key Accounts,Oral Nicotine,Premium,T1,2,6,2,639.75,639.75,0
Mali,Retail,Cigarettes,Premium,T2,2,3,2,59,59,0
Mali,Retail,Oral Nicotine,Core,T2,2,7,2,207.3333,207.3333,0
Martinique,Retail,Cigarettes,Value,T2,2,12,2,31,31,0
Moldova,E-Commerce,Cigarettes,Core,T3,2,6,2,58.25,58.25,0
Moldova,E-Commerce,Oral Nicotine,Premium,T3,2,2,2,225,225,0
Moldova,Retail,Heated Tobacco,Core,T2,2,3,2,375.5,375.5,0
Moldova,Retail,Heated Tobacco,Value,T2,2,9,2,167.125,167.125,0
Mongolia,E-Commerce,Cigarettes,Premium,T3,2,10,2,161.4285714,161.4285714,0
Mongolia,Key Accounts,Cigarettes,Value,T1,2,5,2,197.8333333,197.8333333,0
Mongolia,Key Accounts,Heated Tobacco,Premium,T1,2,6,2,281,281,0
Mongolia,Retail,Cigarettes,Core,T2,2,3,2,66.5,66.5,0
Mozambique,E-Commerce,Heated Tobacco,Premium,T3,2,2,2,356,356,0
Mozambique,E-Commerce,Oral Nicotine,Core,T3,2,2,2,198,198,0
Mozambique,Key Accounts,Oral Nicotine,Core,T1,2,3,2,806.5,806.5,0
Mozambique,Retail,Heated Tobacco,Premium,T2,2,3,2,234.5,234.5,0
Namibia,Retail,Cigarettes,Value,T2,2,2,2,149,149,0
Nepal,Key Accounts,Cigarettes,Core,T1,2,12,2,21.8,21.8,0
Nepal,Key Accounts,Oral Nicotine,Core,T1,2,3,2,211,211,0
Nepal,Retail,Cigarettes,Premium,T2,2,11,2,49.083325,49.083325,0
Niger,Key Accounts,Cigarettes,Value,T1,2,4,2,220.6666667,220.6666667,0
Niger,Retail,Heated Tobacco,Value,T2,2,3,2,721,721,0
Niger,Retail,Oral Nicotine,Core,T2,2,7,2,492.3333,492.3333,0
Norway,E-Commerce,Cigarettes,Core,T3,2,16,2,76.99996,76.99996,0
Norway,Retail,Heated Tobacco,Core,T2,2,10,2,295.3333,295.3333,0
Norway,Retail,Heated Tobacco,Premium,T2,2,6,2,266.5,266.5,0
Pakistan,Retail,Heated Tobacco,Premium,T2,4,21,2,523.6818182,261.8409091,261.8409091
Poland,E-Commerce,Oral Nicotine,Value,T3,2,5,2,141.5,141.5,0
Qatar,Retail,Cigarettes,Premium,T2,2,4,2,45.5,45.5,0
Romania,E-Commerce,Heated Tobacco,Core,T3,2,10,2,394.125,394.125,0
Romania,E-Commerce,Heated Tobacco,Premium,T3,2,2,2,139,139,0
Romania,E-Commerce,Oral Nicotine,Value,T3,2,3,2,606.5,606.5,0
Romania,Key Accounts,Heated Tobacco,Value,T1,2,5,2,217.25,217.25,0
Russia,E-Commerce,Oral Nicotine,Core,T3,2,5,2,515.75,515.75,0
Rwanda,Key Accounts,Heated Tobacco,Core,T1,2,2,2,197,197,0
Rwanda,Key Accounts,Heated Tobacco,Premium,T1,2,2,2,285,285,0
Rwanda,Key Accounts,Oral Nicotine,Core,T1,2,8,2,69,69,0
Saudi Arabia,E-Commerce,Heated Tobacco,Premium,T3,2,12,2,399.375,399.375,0
Saudi Arabia,E-Commerce,Heated Tobacco,Value,T3,2,9,2,431.6666667,431.6666667,0
Saudi Arabia,Key Accounts,Oral Nicotine,Value,T1,2,4,2,94.5,94.5,0
Senegal,E-Commerce,Cigarettes,Core,T3,2,3,2,36,36,0
Senegal,E-Commerce,Cigarettes,Premium,T3,2,3,2,73.5,73.5,0
Senegal,Key Accounts,Heated Tobacco,Value,T1,2,3,2,367.5,367.5,0
Senegal,Key Accounts,Oral Nicotine,Core,T1,2,3,2,383,383,0
Senegal,Retail,Oral Nicotine,Core,T2,2,3,2,74,74,0
Singapore,Key Accounts,Oral Nicotine,Premium,T1,2,3,2,386,386,0
Singapore,Retail,Oral Nicotine,Premium,T2,2,3,2,266,266,0
Slovakia,Retail,Cigarettes,Core,T2,2,7,2,121.1,121.1,0
Slovakia,Retail,Cigarettes,Value,T2,2,4,2,26.5,26.5,0
Somalia,Key Accounts,Cigarettes,Core,T1,2,7,2,39,39,0
Somalia,Key Accounts,Cigarettes,Premium,T1,2,5,2,42.5,42.5,0
Somalia,Retail,Heated Tobacco,Value,T2,2,3,2,310,310,0
Somalia,Retail,Oral Nicotine,Premium,T2,2,5,2,128.75,128.75,0
Somalia,Retail,Oral Nicotine,Value,T2,2,2,2,874,874,0
South Korea,Retail,Heated Tobacco,Core,T2,4,14,2,493.5714,246.7857,246.7857
Sri Lanka,E-Commerce,Cigarettes,Premium,T3,2,17,2,22.06946667,22.06946667,0
Sudan,E-Commerce,Cigarettes,Core,T3,2,4,2,507.5,507.5,0
Sudan,E-Commerce,Cigarettes,Premium,T3,2,2,2,58,58,0
Sudan,E-Commerce,Heated Tobacco,Premium,T3,2,4,2,315.5,315.5,0
Sudan,E-Commerce,Oral Nicotine,Value,T3,2,6,2,60,60,0
Sudan,Key Accounts,Cigarettes,Premium,T1,2,13,2,20.97222222,20.97222222,0
Sudan,Key Accounts,Cigarettes,Value,T1,2,3,2,32.5,32.5,0
Sudan,Retail,Heated Tobacco,Premium,T2,2,8,2,241.7143143,241.7143143,0
Sudan,Retail,Oral Nicotine,Core,T2,2,5,2,923,923,0
Sweden,Key Accounts,Heated Tobacco,Core,T1,4,10,2,478.5,239.25,239.25
Switzerland,E-Commerce,Cigarettes,Core,T3,2,4,2,330,330,0
Switzerland,E-Commerce,Cigarettes,Value,T3,2,19,2,49.36666667,49.36666667,0
Switzerland,Key Accounts,Cigarettes,Premium,T1,2,16,2,79.49092909,79.49092909,0
Switzerland,Key Accounts,Oral Nicotine,Core,T1,2,7,2,440.2,440.2,0
Switzerland,Retail,Heated Tobacco,Value,T2,2,7,2,144,144,0
Syria,E-Commerce,Cigarettes,Premium,T3,2,4,2,93,93,0
Syria,Retail,Cigarettes,Core,T2,2,7,2,27.8333,27.8333,0
Syria,Retail,Cigarettes,Premium,T2,2,5,2,64.5,64.5,0
Taiwan,Retail,Cigarettes,Value,T2,2,5,2,40.6667,40.6667,0
Tanzania,E-Commerce,Oral Nicotine,Core,T3,2,3,2,162,162,0
Tanzania,E-Commerce,Oral Nicotine,Value,T3,2,2,2,225,225,0
Tanzania,Key Accounts,Heated Tobacco,Value,T1,2,3,2,178,178,0
Tanzania,Retail,Oral Nicotine,Premium,T2,2,6,2,637.75,637.75,0
Togo,Key Accounts,Heated Tobacco,Premium,T1,2,2,2,132,132,0
Togo,Key Accounts,Heated Tobacco,Value,T1,2,2,2,127,127,0
Togo,Key Accounts,Oral Nicotine,Core,T1,2,2,2,221,221,0
Togo,Retail,Heated Tobacco,Value,T2,2,2,2,214,214,0
Togo,Retail,Oral Nicotine,Value,T2,2,5,2,75.25,75.25,0
Trinidad and Tobago,E-Commerce,Cigarettes,Core,T3,2,5,2,78,78,0
Trinidad and Tobago,E-Commerce,Cigarettes,Premium,T3,2,11,2,26.2083125,26.2083125,0
Trinidad and Tobago,Key Accounts,Cigarettes,Core,T1,2,8,2,44.5,44.5,0
Trinidad and Tobago,Retail,Cigarettes,Premium,T2,2,5,2,103.1667,103.1667,0
