operating_country,channel_name,weeks,shipments_units,gross_revenue,total_trade_spend,net_revenue_after_trade,trade_spend_pct_calc,trade_spend_per_unit,net_rev_per_unit
Sierra Leone,E-Commerce,4,9,492,0,492,0,0,54.66666667
Sierra Leone,Key Accounts,3,7,385,0,385,0,0,55
Sierra Leone,Retail,5,15,1572,0,1572,0,0,104.8
Singapore,E-Commerce,19,88,7412,0,7412,0,0,84.22727273
Singapore,Key Accounts,25,107,6459,0,6459,0,0,60.36448598
Singapore,Retail,74,359,26414,0,26414,0,0,73.57660167
Slovakia,Key Accounts,2,5,169,0,169,0,0,33.8
Slovakia,Retail,5,13,697,0,697,0,0,53.61538462
Slovenia,Key Accounts,1,2,153,0,153,0,0,76.5
Slovenia,Retail,2,18,1316,0,1316,0,0,73.11111111
Somalia,E-Commerce,12,30,867,0,867,0,0,28.9
Somalia,Key Accounts,9,19,564,0,564,0,0,29.68421053
Somalia,Retail,25,46,6754,0,6754,0,0,146.826087
South Africa,E-Commerce,83,249,23409,0,23409,0,0,94.01204819
South Africa,Key Accounts,124,333,29502,0,29502,0,0,88.59459459
South Africa,Retail,168,456,42390,0,42390,0,0,92.96052632
South Sudan,E-Commerce,1,4,667,0,667,0,0,166.75
South Sudan,Key Accounts,1,1,378,0,378,0,0,378
Sri Lanka,E-Commerce,3,20,284,0,284,0,0,14.2
Sri Lanka,Key Accounts,3,12,568,0,568,0,0,47.33333333
Sudan,E-Commerce,13,28,2318,0,2318,0,0,82.78571429
Sudan,Key Accounts,17,39,2241,0,2241,0,0,57.46153846
Sudan,Retail,45,130,11777,0,11777,0,0,90.59230769
Swaziland,E-Commerce,1,1,84,0,84,0,0,84
Swaziland,Retail,1,4,204,0,204,0,0,51
Switzerland,E-Commerce,7,31,2122,0,2122,0,0,68.4516129
Switzerland,Key Accounts,17,79,9188,0,9188,0,0,116.3037975
Switzerland,Retail,41,198,13564,0,13564,0,0,68.50505051
Taiwan,Key Accounts,6,25,6463,0,6463,0,0,258.52
Taiwan,Retail,6,27,1185,0,1185,0,0,43.88888889
Togo,E-Commerce,7,18,1521,0,1521,0,0,84.5
Togo,Key Accounts,19,48,1540,0,1540,0,0,32.08333333
Togo,Retail,10,23,1089,0,1089,0,0,47.34782609
Tunisia,E-Commerce,1,1,30,0,30,0,0,30
Tunisia,Key Accounts,2,3,251,0,251,0,0,83.66666667
Tunisia,Retail,10,18,1481,0,1481,0,0,82.27777778
Ukraine,E-Commerce,51,135,8564,0,8564,0,0,63.43703704
Ukraine,Key Accounts,89,291,29374,0,29374,0,0,100.9415808
Ukraine,Retail,179,524,48917,0,48917,0,0,93.35305344
Uruguay,E-Commerce,4,16,230,0,230,0,0,14.375
Uruguay,Key Accounts,2,14,80,0,80,0,0,5.714285714
Uzbekistan,E-Commerce,6,10,622,0,622,0,0,62.2
Uzbekistan,Key Accounts,10,16,1272,0,1272,0,0,79.5
Uzbekistan,Retail,24,79,5436,0,5436,0,0,68.81012658
Zambia,E-Commerce,25,58,8717,0,8717,0,0,150.2931034
Zambia,Key Accounts,18,45,4861,0,4861,0,0,108.0222222
Zambia,Retail,45,148,12451,0,12451,0,0,84.12837838
